GRB,T90,comments,RA,Dec,z,X,O,R,refs
080413B,8,"Bright intermediate-duration burst, single peak, bright afterglow.",44:34.7,-19:58:52.0,1.1014,y,y,n,1
980613,50,Faint burst. Compact host galaxy inside complex merging system.,17:57.8,+71:27:25.5,1.0964,y,y,n,4
91024,1200,"Extremely long (20 min); late peaks missed by BAT. Low galactic latitude. Bright, well-observed afterglow.",36:59.7,+56:53:23.4,1.092,y,y,,4
110213B,,MAXI GRB with X-ray/optical afterglow and redshift.,47:01.4,+01:08:46.3,1.083,y,y,,
091208B,14.9,Bright optical afterglow.,57:34.1,+16:53:22.82,1.0633,y,y,,1
130604A,37.7,Faint optical counterpart.,40:45.3,+68:13:33.58,1.06,y,y,,
51006,26,Possible faint transient.,23:13.5,+09:30:24.48,1.059,y,y,,
911,500,"Bright, very long burst. Possible SN bump.",18:34.4,+07:44:27.7,1.0585,,y,y,5
110726A,5.2,"Faint, soft burst. Fast early decay.",06:52.1,+56:04:16.6,1.036?,y,y,,
80411,56,"Very bright Swift burst, near Sun.",31:55.2,-71:18:07.30,1.0301,y,y,n,
140508A,44.3,Fermi GRB with PTF afterglow,01:51.9,+46:46:49.5,1.027,y,y,,
121211A,182,"Early observations, UV-to-IR detections.",02:08.0,+30:08:54.6,1.023,y,y,,
991216,50,Extremely bright burst. Jet break. Possible X-ray lines; 2300-A dust bump.,09:31.3,+11:17:07.262,1.02,y,y,y,14
140318A,8.43,Very luminous probable host.,16:21.4,+20:12:32.9,1.02,y,y,,
21211,2.8,"Bright, long burst. Early color variation. Possible supernova.",08:59.9,+06:43:37.88,1.006,,y,,19
110918A,22,"Ultra-bright, ultra-energetic IPN burst, extensive afterglow follow-up. Brightest-ever Konus burst.",10:09.4,-27:06:19.6,0.982,y,y,,4
071010A,6,Bright afterglow with slow early decay.,12:14.6,-32:24:07.16,0.98?,y,y,n,1
081109A,190,Very red afterglow. Luminous host galaxy.,03:09.7,-54:42:39.5,0.9787,y,y,n,1
91018,4.4,"Swift XRF. Extensive ground-based observations, X-shooter spectrum.",08:44.6,-57:32:53.8,0.971,y,y,,4
070419A,116,Highly underluminous afterglow. Supernova bump?,10:58.8,+39:55:31.4,0.97,y,y,,2
160131A,325,"Bright burst, well-observed afterglow.",12:40.4,-07:02:58.5,0.97,y,y,y,
120907A,16.9,Low-z; early optical followup and UVOT detections.,59:00.0,-09:18:54.0,0.97,y,y,,
980703,40,Bright host with radio detection (no Spitzer detection). High-energy IC contribution?,59:06.7,+08:35:07.09,0.967,y,y,y,17
140622A,0.13,"Short, soft burst.",08:41.6,-14:25:09.5,0.959?,y,,,
120722A,42.4,Bright host.,21:59.2,+13:15:04.68,0.9586,y,y,,
970828,160,"Extremely bright burst, but no optical afterglow.",08:31.6,+59:18:51.32,0.958,y,n,y,13
071010B,35.7,Bright GRB; bright afterglow discovered by amateur. Still visible after 2 weeks.,02:09.3,+45:43:50.3,0.947,y,y,y,4
071028B,,"Detected in ground analysis. Afterglow detected by GROND after 3 days. Bright, blue host.",36:38.8,-31:37:13.7,0.94,y,,,1
080319B,50,``Naked eye'' burst. Extremely energetic. 5th magnitude optical flash.,31:41.0,+36:18:08.8,0.9382,y,y,y,46
060912A,5,Low-z galaxy near GRB position. Detected in UVOT up to UVM2.,21:08.2,+20:58:17.8,0.937,y,y,n,2
051016B,4,Detected in UVOT UV filters.,48:27.8,+13:39:20.7,0.9364,y,y,,
070714B,64,Bright short burst with optical afterglow. Very faint host galaxy.,51:22.2,+28:17:51.4,0.923,y,y,n,3
141225A,40.24,Early optical observations,15:06.8,+33:47:30.7,0.915,y,y,,
90510,0.3,Very bright Swift/Fermi short burst with LAT detection.,14:12.6,-26:35:02.8,0.903,y,y,n,25
070429B,0.5,Short burst. No optical counterpart.,52:03.9,-38:49:42.6,0.9023,y,,n,1
91003,21.1,LAT-detected Fermi burst. SDSS host?,46:04.7,+36:37:30.76,0.8969,y,y,,
140506A,111.1,Heavily extinguished afterglow but still UVOT-detected.,27:06.0,-55:38:08.8,0.889,y,y,,4
170903A,29.2,Bright galaxy in error circle. No OT.,58:06.2,+34:58:44.7,0.886,y,,n,
160117B,60,"Early observations, multicolor/multiwavelength follow-up.",48:46.7,-16:22:00.0,0.86,y,,y,
40924,1.2,Intermediate-duration; not hard. Associated supernova.,06:22.6,+16:06:48.4,0.859,,y,n,5
101225A,1088,"Extremely long, soft burst with blue long-lasting OT.",00:47.5,+44:36:02.4,0.847,y,y,,8
80710,120,Faint burst with very bright late-time afterglow,33:05.6,+19:30:05.3,0.8454,y,y,,2
210,20,"Dark burst. Bright, well-studied host galaxy.",59:15.6,-40:39:33.02,0.8452,y,,y,3
990705,45,Very red afterglow. X-ray absorption feature claimed. Spiral host galaxy. Near LMC.,09:54.5,-72:07:53,0.842,y,y,n,10
70318,63,"Burst with peculiar, long-lived optical afterglow.",13:56.8,-42:56:46.3,0.84,y,y,,1
970508,35,First radio afterglow; first spectroscopic redshift.,53:49.4,+79:16:19.5,0.835,y,y,y,47
50824,25,"Soft, weak burst. Photometric supernova.",48:56.2,+22:36:33.2,0.8278,y,y,,
61217,0.3,Short burst.,41:39.3,-21:07:22.1,0.827,y,,,
071112C,15,Dense early followup. Bright host emission lines.,36:50.9,+28:22:16.7,0.8227,y,y,n,4
70508,21,"Bright, spiky burst. Faint, very red optical afterglow.",51:12.1,-78:23:07.0,0.82?,y,y,,
110715A,13,Bright low-z Swift burst. Submm and radio detections.,50:44.1,-46:14:06.53,0.82,y,y,y,4
170519A,216.4,Bright afterglow with early follow-up.,53:42.5,+25:22:27.4,0.818,y,y,n,
151027A,129.7,Very bright optical afterglow with major rebrightening. Extensive follow-up.,09:56.7,+61:21:13.01,0.81,y,y,y,1
51022,200,"Very bright, relatively low-z dark burst, possibly due to high extinction.",56:04.1,+19:36:24.1,0.809,y,,y,6
150514A,10.8,LAT burst with follow-up and bright afterglow,59:30.3,-60:58:06.3,0.807,y,y,,
100816A,2.9,Short? Intermediate? UVOT afterglow.,26:57.6,+26:34:42.9,0.804,y,y,,2
120729A,71.5,Bright afterglow; early observations.,52:17.8,+49:56:23.1,0.8,y,y,n,1
