GRB,T90,comments,RA,Dec,z,X,O,R,refs
100316A,7,,47:54.7,+71:49:36.3,3.155,y,y,,2
111123A,290,"Very long. Faint afterglow (possibly dark?), bright high-z host galaxy.",19:23.1,-20:38:41.0,3.1516,y,y,,
140703A,67.1,Moderately high-z and probably significantly reddened. Radio/millimeter follow-up.,51:59.0,+45:06:06,3.14,y,y,y,
150413A,263.6,"Early observations of OT, rapidly brightened in first 15 minutes. No early Swift XRT/UVOT.",41:42.0,+71:50:28.0,3.139,n,y,y,1
120922A,173,Soft burst or XRF.,38:59.6,-20:10:54.2,3.1,y,y,,
091109A,48,"Faint, fast-fading afterglow.",37:01.8,-44:09:29.6,3.076,y,y,,
060607A,100,Rapid early spectroscopy; flaring afterglow.,58:50.4,-22:29:46.7,3.0749,y,y,,9
081028A,260,New burst with bright afterglow.,07:34.7,+02:18:29.1,3.038,y,y,,2
80607,79,Bright high-z burst. Very strong DLA and numerous absorption lines; probable large extinction column.,59:47.2,+15:55:10.9,3.0368,y,y,,6
90404,84,Very dark burst with millimeter detection,56:57.5,+35:30:57.5,3?,y,,,
121217A,778,Very long.,14:50.4,-62:21:03.53,3,y,y,,2
090715B,266,Very slow early optical fading.,45:21.5,+44:50:20.3,3,y,y,y,
141109A,200,Bright early afterglow. Very long.,38:07.4,-00:36:28.7,2.993,y,y,y,
70411,101,Optical afterglow shows early plateau phase and flares.,09:19.9,+01:03:52.6,2.954,y,y,,1
120118B,23.26,"Unconfirmed NIR detection (dark??), bright high-z host.",19:29.0,-07:11:05.3,2.943,y,y?,,
51008,16,"Long, hard, high-fluence dark burst; bright star in field. LBG host.",31:29.5,+42:05:53.3,2.9,y,,,4
50401,38,"Faint optical afterglow, probably dust-extinguished. Very strong DLA system.",31:28.8,+02:11:14.83,2.8983,y,y,y,6
111107A,26.6,Submm and radio limits.,37:54.7,-66:31:12.3,2.893,y,y,,
120404A,38.7,Early observations; multiwavelength followup. Rapid late-time fading.,40:02.3,+12:53:06.1,2.876,y,y,y,
110731A,38.8,Swift burst with LAT detection.,42:01.0,-28:32:13.8,2.83,y,y,,7
161014A,18.3,Swift GRB with afterglow.,10:35.5,+07:28:07.3,2.823,y,y,n,
50603,6,"Bright afterglow, UVOT observations.",39:56.9,-25:10:54.6,2.821,y,y,y,2
120327A,62.9,Very bright at early times. Rich X-shooter spectrum w/molecular features.,27:27.5,-29:24:54.00,2.813,y,y,,4
121011A,75.6,"Swift burst with weak LAT detection. Moderately bright, long-lived optical afterglow.",20:51.2,+41:06:37.4,2?,y,y,,1
