GRB,T90,comments,RA,Dec,z,X,O,R,refs
050714B,87,XRF; afterglow is X-ray soft.,18:47.7,-15:32:49.3,2.438,y,,,
080413A,46,Bright burst with bright afterglow.,09:11.8,-27:40:40.1,2.433,y,y,,1
51001,190,Dark burst.,23:48.7,-31:31:23.3,2.4296,y,,,
80310,365,Bright OT with long plateau and flaring.,40:13.8,-00:10:32.1,2.4274,y,y,,5
171222A,174.8,"Long/multi-peaked, soft. Optical afterglow.",53:06.7,+35:37:35.5,2.409,y,y,,
140509A,23.2,No ground follow-up.,06:22.7,-62:38:21.7,2.4,y,y,y,
131108A,19,LAT on board detection. Swift afterglow.,26:00.5,+09:39:44.05,2.4,y,y,y,1
160227A,316.5,Early optical detections.,59:13.8,+78:40:45.1,2.38,y,y,,
080905B,128,Southerly. Nearby low-redshift galaxy. Inconsistent fluence values.,06:57.9,-62:33:47.0,2.3739,y,y,,
170531B,164.1,Early afterglow detections.,07:32.1,-16:25:08.0,2.366,y,y,,
120815A,9.7,Early observations. Spectrum with molecular lines.,15:49.8,-52:07:52.1,2.358,y,y,,2
70110,85,Very slow initial afterglow decay followed by sudden fading.,03:39.3,-52:58:26.9,2.3521,y,y,,3
051109A,25,Bright afterglow with dense early multicolor observations.,01:15.3,+40:49:23.31,2.346,y,y,y,2
110128A,30.7,Faint but well-observed optical counterpart.,55:35.1,+28:03:55.6,2.339,y,y,,
70129,460,Extremely long GRB. Flaring; faint afterglow.,28:00.9,+11:41:04.0,2.3384,y,y,,1
141028A,31.5,LAT detection.,30:24.5,-00:13:52.7,2.332,,y,,2
151021A,110.2,Bright GRB; early spectroscopy.,30:34.4,-33:11:49.45,2.33,y,y,,
21004,52.4,"Intrinsically brightest late-time afterglow. Complicated light curve - energy reinjections, density variations?",26:54.7,+18:55:41.6,2.323,y,y,y,48
060111A,13,Intense multiple X-ray flares.,24:49.2,+37:36:14.1,2.32,y,y,,
70506,4.3,Faint afterglow.,08:52.4,+10:43:20.3,2.309,y,y,,
121024A,69,Well-observed Swift burst.,41:53.3,-12:17:26.5,2.298,y,y,,3
140629A,42,Extensive optical follow-up; rapid decay.,35:54.4,+41:52:36.7,2.275,y,y,,
130505A,88,"Very bright, luminous burst with bright afterglow.",08:14.6,+17:29:05.2,2.27,y,y,,
81221,34,"Ultra-dark burst. Very bright in gamma rays and X-rays, no optical afterglow except possible very faint IR counterpart.",03:10.2,-24:32:51.7,2.26,y,y,y,
60124,710,Long burst (700s) with long interval between precursor and main burst.,08:26.0,+69:44:27.2,2.23,y,y,n,8
110205A,257,Very bright and luminous afterglow with huge flare.,58:31.1,+67:31:31.2,2.22,y,y,y,5
80804,34,"Southerly GRB, bright afterglow.",54:40.2,-53:11:04.6,2.2045,y,y,,
121128A,7.52,,02:24.0,+54:17:59.2,2.2,y,y,,
120624B,271,"Very bright, long Fermi burst with LAT detection and precursors. Obscured afterglow; luminous host.",23:32.3,+08:55:42.8,2.2,y,,,2
